,ID,filename,sentence_id,text,space_type
0,,,-1,"Denn ich lebe mit den Hirten auf den Feldern,
mit den Wildeseln, mit den Kranichen am Rand der Sümpfe.",action_space
1,,Theodor_Storm_-_Zur_Chronik_von_Grieshuus_(1884).txt,446,"dann aber scholl wohl ein
leichter Fußtritt von oben durch die Zimmerdecke, und er horchte nur auf dessen
Wiederkehr und ließ den Alten über Kriegsvolk und Bauern, über Wild und Wälder
reden.",perceived_space
2,,Arthur_Schnitzler_-_Die_Weissagung_(1904).txt,52,"Da lachte Herr von
Umprecht in einer ziemlich sonderbaren Weise vor sich hin, dann warf er rasch
einen Blick zu mir herüber, der eine Art von Einverständnis zwischen uns beiden
auszudrücken schien und den ich mir durchaus nicht erklären konnte.",no_space
3,,Joseph_von_Eichendorff_-_Viel_Lärmen_um_Nichts_(1833).txt,376,"– Als er sich verwundert
umsah, erblickte er plötzlich ihre hohe und anmutige Gestalt verlockend
zwischen den dunklen Bäumen hervor.",perceived_space
4,,Rudolf_Lindau_-_Ein_ganzes_Leben_(1895).txt,43,"Der Besuch des Kirchhofs,
das Laufen durch die Straßen, der Anblick seiner alten Schule und seines alten
Lehrers, die stets wechselnden Erinnerungen, die während des ganzen Tages in
ihm aufgetaucht, so daß sein Gehirn und sein Herz nicht einen Augenblick zur
Ruhe gekommen waren, – alles das hatte ihn müde gemacht.",perceived_space
5,,Justinus_Kerner_-_Geschichte_des_Mädchens_von_Orlach_(1834).txt,37,"Um halb acht Uhr desselben Tages sah das Mädchen im Hintergrunde des Stalles an
der Mauer die graue Schattengestalt einer Frau, die um Kopf und Leib wie einen
schwarzen Bund gewickelt hatte.",visual_space
6,,Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826).txt,5,"ich saß auf der Türschwelle und wischte mir den Schlaf aus den
Augen;",perceived_space
7,,Friedrich_Spielhagen_-_Noblesse_oblige_(1888).txt,2478,"Und deshalb habe ich heute nicht
des Tages froh werden können, sondern bin voll Kummer und Gram gewesen und voll
Scham um unsere Landsleute.",no_space
8,,Jean_Paul_-_Flegeljahre_(1804).txt,-1,"Wie ein Schiffer auf einem windstillen Meer , sieht sie ohne alle Erde Himmel über , Himmel unter sich offen , und das Wasser , das sie trägt , ist bloß der dunklere Himmel .",perceived_space
9,,René_Schickele_-_Das_gelbe_Haus_(1940).txt,319,"Sie hatten ihn kaum fallen lassen, da war Michael schon wieder auf den Beinen
und ging, ohne sich umzusehen, hastigen Schrittes zum Bahnhof.",action_space
10,,Ernst_Wichert_-_Ansas_und_Grita_(1881).txt,757,"Als sie am Herrenhause vorüber war und in die Dorfstraße einbog, dämmerte es
schon.",action_space
11,,Salomon_Geßner_-_Der_erste_Schiffer_(1762).txt,7,"Auf einsamer Insel stand ihre Wohnung , von jenen Ufern so ferne , daß sie bey sanftester Stille des Himmels und des Meeres das lauteste Bryllen der Herden an dem blauen Ufer nicht hœrten .",perceived_space
12,,Friedrich_Huch_-_Enzio_(1905).txt,6772,Jetzt endlich kommt der Jammer über ihn.,no_space
13,,George_Meredith_-_Richard_Feverel_(1859).txt,-1,"Sie glitt leise aus dem Bett,
verschloß und verriegelte die Türe des Zimmers, überzeugte sich, daß Lucy
nichts hörte, und ging auf Zehspitzen an das Fenster.",action_space
14,,Richard_Voß_-_Felice_Leste_(1889).txt,20,"Die Wohnung besaß eine niedrige, unverschließbare Thür
und auf der nackten Erde einen Feuerplatz.",descriptive_space
15,,Joachim_Ringelnatz_-_Kinder-Verwirr-Buch_(1931).txt,270,"Er ruderte heimlich mit einem Boot hinaus in
die hohe See und sprang dort über Bord, um sich zu ertränken.",action_space
16,,Ernst_Wichert_-_Ansas_und_Grita_(1881).txt,753,"Trotz des eisigen Windes, der ihr entgegenblies, und der Hagelschauer,
die sich von Zeit zu Zeit aus den schwarzen vorüberjagenden Wolken stürzten,
schritt sie eine Weile auf der Chaussee fort, denselben Weg, den sie zuletzt
mit Ansas gemacht hatte.",action_space
17,,Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826).txt,232,"Ich
übersah den ganzen Garten und gerade in die hellerleuchteten Fenster des
Schlosses hinein.",perceived_space
18,,Ernst_von_Wildenbruch_-_Schwester-Seele_(1894).txt,5928,"Nun
sah sie Männer, die gleichgültig bequem an den Tisch gelehnt standen, in die
Tasche griffen, goldene Zwanzigfrankstücke aufsetzten und, wenn diese verloren
waren, wieder in die Tasche griffen und einen neuen Haufen Goldstücke
hervorholten;",visual_space
19,,ETA_Hoffmann_-_Des_Vetters_Eckfenster_(1822).txt,74,"Wahrscheinlich eine Restantin aus
dem letzten Kriege, die ihr Schäfchen hier ins trockne gebracht.",action_space
20,,Balduin_Möllhausen_-_Der_Schatz_von_Quivira_(1879).txt,1852,"Ich habe mir heute zu viel zugemuthet,« begann sie wieder, als sie nach
Ueberwinden des Uferabhanges in den Leinpfad einbogen, »Sie müssen mich nach
dem Hofe hinauf begleiten.",action_space
21,,Jean_Paul_-_Die_unsichtbare_Loge_(1793).txt,16,"Vierter Sektor oder Ausschnitt : Lilien – Waldhörner – und eine Aussicht sind
die Todes-Anzeigen",no_space
22,,Heinrich_Lersch_-_Im_Pulsschlag_der_Maschinen_(1935).txt,169,"An diesem Tage aber mußten die Fuhrwerke ganz auf einer Seite fahren , eine große Schar Arbeiter hatte die Straße , von unserer Hausseite an , aufgeschlagen .",action_space
23,,,-1,"Die Zimmerleute sollen sich eifrig mit dem
Ausbau des Zuschauerraumes beschäftigen, und ein Wink von Ihnen wird dann
genügen, damit auf der Bühne noch angebracht werde, was Sie etwa brauchen und
wünschen.",action_space
24,,Richard_Voß_-_Die_Mutter_der_Catonen_(1889).txt,324,"Um übrigens der
Wohnung der Schönen Gerechtigkeit widerfahren zu lassen, muß gesagt werden, daß
das Zimmer nach dem Platz hinaus ein Fenster mit noch niemals geputzten
Scheiben besaß, und daß in der Mitte das Prachtstück der Einrichtung stand, ein
mächtiges Ehebett, mit dem schneeigsten Linnen bedeckt, welches alte wertvolle
Spitzen verzierten.",descriptive_space
25,,Hermann_Marggraff_-_Fritz_Beutel_(1856).txt,4891,"Der Vicekönig nickte mir freundlich zu, winkte mir, mich auf einen Divan
niederzulassen und befahl, mir eine Tasse starken Kaffees und den Tschibuck zu
bringen, wie das in jenen Ländern gebräuchlich ist.",action_space
26,,Detlev_von_Liliencron_-_Die_Dithmarschen_(1906).txt,221,"Auf den schwarzen, glänzenden Gesichtern
lag der Widerschein der ringsum leuchtenden Feuer.",perceived_space
27,,Joseph_von_Eichendorff_-_Viel_Lärmen_um_Nichts_(1833).txt,605,Die Finsternis verschlang sogleich wieder die flüchtige Erscheinung.,perceived_space
28,,Friedrich_Gerstäcker_-_Der_erkaufte_Henker_(1845).txt,212,"die Berathung war beendigt und die Menge wälzte sich in
das Haus und um die Gebäude herum, und schreiend und tobend riefen sie nach
Röttken und dem Krämer.",action_space
29,,Johannes_Schlaf_-_Neue_Erzählungen_aus_Dingsda_(1899).txt,189,"Gleich neben dem Toreingang mit dem Wappen drüber stand, dunkelgrün im
weißen Schnee, ein mächtiger Haufen herrlicher Weihnachtsbäume.",descriptive_space
30,,Levin_Schücking_-_Märtyrer_oder_Verbrecher_(1887).txt,760,"Ich wußte,
daß jener Mann, den ich niederschlug, ein Räuber war; und den Raub wollte ich
ihm entreißen.",no_space
31,,Wilhelm_Raabe_-_Drei_Federn_(1865).txt,266,"Als ich in dem Sonnenschein und sabbatlicher Gehobenheit vor der Tür der Apotheke stand und allerlei bizarre , phantastische , unbestimmbare mouches volantes mir vor den Augen vorüberfuhren und - flimmerten , ahnte ich nicht , daß ich in nicht allzu langer Zeit , doch unter sehr veränderten Umständen in diese Tür wieder eingehen würde .",perceived_space
32,,Joseph_von_Eichendorff_-_Die_Glücksritter_(1841).txt,32,"Da eilt plötzlich ein galonierter Bedienter dicht an ihm vorüber , und in demselben Augenblick öffnet sich leise seitwärts ein Fensterchen und : « pst , pst , bist du 's? » reicht ein weißer Arm fix eine Flasche Wein heraus .",action_space
33,,Clemens_Brentano_-_Der_arme_Raimondin_(1814).txt,226,"Da nahmen mich die guten Leute
aus dem Eimer und brachten mich nach ihrer Stube, wo ich erquickt und gepflegt
wurde und alle meine Leiden seit dem vorigen Abend erzählen mußte, was ich
jetzt, Hochwürdiger, gegen Euch wiederholte, um Euch die Lage und Stimmung zu
beschreiben, in welcher ich das Wesen zum ersten Male gesehen, das mich zum
unglücklichsten Menschen gemacht hat.",action_space
34,,Adalbert_Stifter_-_Bunte_Steine_(1853).txt,201,"sie mußte glauben, daß du dir leichtsinnigerweise die Füße selber mit so
vieler Wagenschmiere beschmiert habest, und daß du in die Stube gegangen
seiest, den schönen Boden zu besudeln.",action_space
35,,Wilhelm_Raabe_-_Das_Odfeld_(1889).txt,1816,"Nehme Er den Hans am Zügel, und, Mademoisell,
Sie nehmen gütigst meinen Arm.",no_space
36,,Ferdinand_von_Saar_-_Herr_Fridolin_und_sein_Glück_(1897).txt,705,"Und kaum war dieser Gedanke in mir aufgeblitzt, als er mir schon zur
überzeugenden Vorstellung, zum weitausgreifenden Vorsatz wurde.",no_space
37,,Klabund_-_Rasputin_(1929).txt,25,Aber das würde sich in dem gesunden sibirischen Klima schon geben.,no_space
38,,Franz_Kafka_-_Der_Prozeß_(1925).txt,-1,"»Sie hätten vor einer Stunde und fünf Minuten erscheinen sollen«, wiederholte nun der Mann mit erhobener Stimme und sah nun auch schnell in den Saal hinunter.",visual_space
39,,Joseph_von_Eichendorff_-_Viel_Lärmen_um_Nichts_(1833).txt,445,"Über dem Lärm und Gezänk in der frühen Morgenstille wurde alles wach, wo sie
vorüberzogen.",perceived_space
40,,,-1,"Es gibt eine Untergrundbahn, die ist wie ein beleuchteter Sarg auf Schienen – unter der Erde und muffig, und man wird gequetscht. ",perceived_space
41,,Wilhelm_Hauff_-_Novellen_(1828).txt,5458,Diese Gedanken beschäftigten ihn den ganzen Tag.,no_space
42,,Hugo_von_Hofmannsthal_-_Das_Glück_am_Weg_(1893).txt,2,"Ich saß auf einem verlassenen Fleck des Hinterdecks auf einem dicken, zwischen
zwei Pflöcken hin- und her gewundenen Tau und schaute zurück.",visual_space
43,,Stanislaw_Przybyszewski_-_Epipsychidion_-_Introibo_(1900).txt,234,"Es dämmerte, aber man sah nicht die Sonne, nur ein schwaches,
schmutziges Leuchten kroch am Himmelsrand hervor und verschwand.",perceived_space
44,,Paul_Heyse_-_Gegen_den_Strom_(1907).txt,2895,"Es scheint, sagte sie lächelnd, Sie haben in den vier Jahren Ihrer Klausur
vollständig verlernt, daß man in der Welt bei allen Gründungen mehr mit Kredit
arbeitet als mit barem Geld.",no_space
45,,Hugo_Marti_-_Das_Haus_am_Haff_(1922).txt,2032,"Frau Annemarie stellte einen Kerzenleuchter auf den Tisch und sagte: »Ich hörte
deinen Schritt.",action_space
46,,Detlev_von_Liliencron_-_Letzte_Ernte_(1909).txt,218,Es ist halb neun.,no_space
47,,Gottfried_Keller_-_Der_Landvogt_von_Greifensee_(1877).txt,595,"Als sie die schöne und durch ihre
Schulden berühmt gewordene Wendelgard sah und wie diese in ihrer Verlassenheit
nichts mit sich anzufangen wußte, zog sie dieselbe in ihre Gesellschaft und
vertrieb sich selbst die Zeit damit, das seltsame, eigenartige Geschöpf, in
welchem die Schönheit ohne alle andere Zutat persönlich geworden schien, zu
studieren und kennen zu lernen.",no_space
48,,Theodor_Storm_-_Carsten_Curator_(1878).txt,251,"Es war dies freilich kein farbenbrennendes Ölbild, sondern ganz im Gegenteil
nur eine mächtig große Silhouette, welche, in braun untermalten Glasleisten
eingerahmt, an der westlichen Wand zunächst dem Ausbaue hing, so daß der
Hausherr von seinem Arbeitstische aus die Augen darauf ruhen lassen konnte.",visual_space
